time,path,found_words
1,/Users/leolau/Documents/CODE/km/static/Markdown/README.md,['basic.png']
5,/Users/leolau/Documents/CODE/km/static/IT/IS/README.md,"['IS.png', 'TPS.png', 'MIS.png', 'DSS.png', 'SystemDevelopement.png']"
3,/Users/leolau/Documents/CODE/km/static/IT/Terminal/README.md,"['shell_type.jpeg', 'bash_diagram.png', 'zsh_diagram.png']"
1,/Users/leolau/Documents/CODE/km/static/IT/Cloud/README.md,['XaaS.png']
7,/Users/leolau/Documents/CODE/km/static/IT/Cloud/Azure/README.md,"['AzureResourceHierarchy.png', 'AzureResourceHierachy2.png', 'AzureResourceHierarchy3.png', 'AzureResourceHierarchy4.png', 'AzureAdmin.png', 'AzurePolicyScope.png', 'AccessConditionFlow.png']"
1,/Users/leolau/Documents/CODE/km/static/CS/Python/README.md,['jupyter_keymap.png']
1,/Users/leolau/Documents/CODE/km/static/CS/StateMachine/README.md,['AutomataTheory.png']
44,/Users/leolau/Documents/CODE/km/static/CS/DSA/README.md,"['GrowthRate.png', 'SizeTable.png', 'StackOrder.png', 'BracketMatching.png', 'PostfixCalcultion.png', 'HotPotato.png', 'CircularQueue.png', 'CircularQueueEnq.png', 'CircularQueueDeq.png', 'RoundRobinScheduler.png', 'Deque.png', 'NodeInsert.png', 'NodeDelete.png', 'LinkedListBigO.png', 'UnorederedVSOrderedBigO.png', 'SinglyLinkedListBigO.png', 'DoublyLinkedListOps.png', 'CircularDoublyLinkedListSimple.png', 'CircularDoublyLinkedList.png', 'CircularDoublyLinkedListEmpty.png', 'CircularDoublyLinkedListBigO.png', 'CircularDoublyLinkedListNoDum.png', 'TreeTerms.png', 'TreeTraversal.png', 'RecursiveTrace.png', 'BinarySearch.png', 'BinarySearchBigO.png', 'RecursionHead.png', 'RecursionTail.png', 'FibonacciCase.png', 'FibonacciTree.png', 'PowerFunction.png', 'HanoiTowerTree.png', 'HanoiTower.gif', 'BubbleSort.png', 'ParallelOddEvenSort.png', 'SelectionSort.png', 'InsertionSort.gif', 'ShellSort.gif', 'MergeSort.gif', 'MergeSortDebug.png', 'MergeSortTree.png', 'MergeSortBigO.png', 'BinarySearch.gif']"
13,/Users/leolau/Documents/CODE/km/static/CS/DesignPattern/README.md,"['SingletonUML.png', 'FactoryUML.png', 'FactoryMethod.png', 'AbstractFactory.png', 'FacadePattern.png', 'ProxyPattern.png', 'ProxyVSFacaed.png', 'ObserverPattern.png', 'CommandPattern.png', 'TemplateMethodPattern.png', 'StateDesignPattern.png', 'MVC.png', 'MVCPattern.png']"
1,/Users/leolau/Documents/CODE/km/static/RnD/README.md,['GoogleSearchCheatSheet.jpg']
5,/Users/leolau/Documents/CODE/km/static/RnD/ML/README.md,"['MLvsDL.png', 'SLvsUSL.png', 'PLvsAL.png', 'BLvsOL.png', './FeaturevsLabel.png']"
3,/Users/leolau/Documents/CODE/km/static/RnD/CV/README.md,"['HumanFOV.png', 'HumanFOV2.png', 'CameraFL.png']"
1,/Users/leolau/Documents/CODE/km/static/RnD/Physics/README.md,['SpeedVSVelocity.png']
1,/Users/leolau/Documents/CODE/km/static/Maths/README.md,['Roadmap.png']
6,/Users/leolau/Documents/CODE/km/static/Maths/PA/README.md,"['./CovariancevsCorrelation.png', 'CovariancevsCorrelationTable.png', 'Unif.png', 'UnifvsNorm.png', './ProbabilityDistributions.png', 'PosissonDistribution.png']"
1,/Users/leolau/Documents/CODE/km/static/CE/README.md,['StackHeap.png']
1,/Users/leolau/Documents/CODE/km/static/Visual Studio/README.md,['image.png']
1,/Users/leolau/Documents/CODE/km/static/Git/README.md,['threetreem.jpg']
