time,path,found_words
1,/Users/leolau/Documents/CODE/km/static/Markdown/README.md,"[('basic', 'basic.png')]"
5,/Users/leolau/Documents/CODE/km/static/IT/IS/README.md,"[('IS', 'IS.png'), ('TPS', 'TPS.png'), ('MIS', 'MIS.png'), ('DSS', 'DSS.png'), ('SystemDevelopement', 'SystemDevelopement.png')]"
3,/Users/leolau/Documents/CODE/km/static/IT/Terminal/README.md,"[('shell_type', 'shell_type.jpeg'), ('bash_diagram', 'bash_diagram.png'), ('zsh_diagram', 'zsh_diagram.png')]"
1,/Users/leolau/Documents/CODE/km/static/IT/Cloud/README.md,"[('XaaS', 'XaaS.png')]"
7,/Users/leolau/Documents/CODE/km/static/IT/Cloud/Azure/README.md,"[('AzureResourceHierarchy', 'AzureResourceHierarchy.png'), ('AzureResourceHierarchy2', 'AzureResourceHierachy2.png'), ('AzureResourceHierarchy3', 'AzureResourceHierarchy3.png'), ('AzureResourceHierarchy4', 'AzureResourceHierarchy4.png'), ('AzureAdmin', 'AzureAdmin.png'), ('AzurePolicyScope', 'AzurePolicyScope.png'), ('AccessConditionFlow', 'AccessConditionFlow.png')]"
1,/Users/leolau/Documents/CODE/km/static/CS/Python/README.md,"[('CheatSheet', 'jupyter_keymap.png')]"
1,/Users/leolau/Documents/CODE/km/static/CS/StateMachine/README.md,"[('AutomataTheory', 'AutomataTheory.png')]"
44,/Users/leolau/Documents/CODE/km/static/CS/DSA/README.md,"[('GrowthRate', 'GrowthRate.png'), ('SizeTable', 'SizeTable.png'), ('StackOrder', 'StackOrder.png'), ('BracketMatching', 'BracketMatching.png'), ('PostfixCalcultion', 'PostfixCalcultion.png'), ('HotPotato', 'HotPotato.png'), ('CircularQueue', 'CircularQueue.png'), ('CircularQueueEnq', 'CircularQueueEnq.png'), ('CircularQueueDeq', 'CircularQueueDeq.png'), ('RoundRobinScheduler', 'RoundRobinScheduler.png'), ('Deque', 'Deque.png'), ('NodeInsert', 'NodeInsert.png'), ('NodeDelete', 'NodeDelete.png'), ('LinkedListBigO', 'LinkedListBigO.png'), ('UnorederedVSOrderedBigO', 'UnorederedVSOrderedBigO.png'), ('SinglyLinkedListBigO', 'SinglyLinkedListBigO.png'), ('DoublyLinkedListOps', 'DoublyLinkedListOps.png'), ('CircularDoublyLinkedListSimple', 'CircularDoublyLinkedListSimple.png'), ('CircularDoublyLinkedList', 'CircularDoublyLinkedList.png'), ('CircularDoublyLinkedListEmpty', 'CircularDoublyLinkedListEmpty.png'), ('CircularDoublyLinkedListBigO', 'CircularDoublyLinkedListBigO.png'), ('CircularDoublyLinkedListNoDum', 'CircularDoublyLinkedListNoDum.png'), ('TreeTerms', 'TreeTerms.png'), ('TreeTraversal', 'TreeTraversal.png'), ('RecursiveTrace', 'RecursiveTrace.png'), ('BinarySearch', 'BinarySearch.png'), ('BinarySearchBigO', 'BinarySearchBigO.png'), ('RecursionHead', 'RecursionHead.png'), ('RecursionTail', 'RecursionTail.png'), ('FibonacciCase', 'FibonacciCase.png'), ('FibonacciTree', 'FibonacciTree.png'), ('PowerFunction', 'PowerFunction.png'), ('HanoiTowerTree', 'HanoiTowerTree.png'), ('HanoiTower', 'HanoiTower.gif'), ('BubbleSort', 'BubbleSort.png'), ('ParallelOddEvenSort', 'ParallelOddEvenSort.png'), ('SelectionSort', 'SelectionSort.png'), ('InsertionSort', 'InsertionSort.gif'), ('ShellSort', 'ShellSort.gif'), ('MergeSort', 'MergeSort.gif'), ('MergeSortDebug', 'MergeSortDebug.png'), ('MergeSortTree', 'MergeSortTree.png'), ('MergeSortBigO', 'MergeSortBigO.png'), ('BinarySearch.gif', 'BinarySearch.gif')]"
13,/Users/leolau/Documents/CODE/km/static/CS/DesignPattern/README.md,"[('SingletonUML', 'SingletonUML.png'), ('FactoryUML', 'FactoryUML.png'), ('FactoryMethod', 'FactoryMethod.png'), ('AbstractFactory', 'AbstractFactory.png'), ('FacadePattern', 'FacadePattern.png'), ('ProxyPattern', 'ProxyPattern.png'), ('ProxyVSFacaed', 'ProxyVSFacaed.png'), ('ObserverPattern', 'ObserverPattern.png'), ('CommandPattern', 'CommandPattern.png'), ('TemplateMethodPattern', 'TemplateMethodPattern.png'), ('StateDesignPattern', 'StateDesignPattern.png'), ('MVC', 'MVC.png'), ('MVCPattern', 'MVCPattern.png')]"
1,/Users/leolau/Documents/CODE/km/static/RnD/README.md,"[('GoogleSearchCheatSheet', 'GoogleSearchCheatSheet.jpg')]"
